"Framework requirement","Framework code","Title","ID","UID","Url","Description","Description modified?","Evidence status","Domain","Owner"
"Article 5","Article 5","Article 5.1 - ICT Risk Governance Framework","CPL-191","gwsr0ieg","https://app.eu.vanta.com/frameworks/dora?controlId=gwsr0ieg","Financial entities shall have in place an internal governance and control framework that ensures an effective and prudent management of ICT risk, in accordance with Article 6(4), in order to achieve a high level of digital operational resilience.","No","Needs evidence","COMPLIANCE",""
"Article 5","Article 5","Article 5.2 - Management Body ICT Risk Oversight","CPL-192","lsd40bkh","https://app.eu.vanta.com/frameworks/dora?controlId=lsd40bkh","The management body of the financial entity shall define, approve, oversee and be responsible for the implementation of all arrangements related to the ICT risk management framework referred to in Article 6(1). For the purposes of the first subparagraph, the management body shall:

(a) bear the ultimate responsibility for managing the financial entity’s ICT risk; 

(b) put in place policies that aim to ensure the maintenance of high standards of availability, authenticity, integrity and confidentiality, of data; 

(c) set clear roles and responsibilities for all ICT-related functions and establish appropriate governance arrangements to ensure effective and timely communication, cooperation and coordination among those functions; 

(d) bear the overall responsibility for setting and approving the digital operational resilience strategy as referred to in Article 6(8), including the determination of the appropriate risk tolerance level of ICT risk of the financial entity, as referred to in Article 6(8), point (b); 

(e) approve, oversee and periodically review the implementation of the financial entity’s ICT business continuity policy and ICT response and recovery plans, referred to, respectively, in Article 11(1) and (3), which may be adopted as a dedicated specific policy forming an integral part of the financial entity’s overall business continuity policy and response and recovery plan; 

(f) approve and periodically review the financial entity’s ICT internal audit plans, ICT audits and material modifications to them; 

(g) allocate and periodically review the appropriate budget to fulfil the financial entity’s digital operational resilience needs in respect of all types of resources, including relevant ICT security awareness programmes and digital operational resilience training referred to in Article 13(6), and ICT skills for all staff; 

(h) approve and periodically review the financial entity’s policy on arrangements regarding the use of ICT services provided by ICT third-party service providers; 

(i) put in place, at corporate level, reporting channels enabling it to be duly informed of the following:
(i) arrangements concluded with ICT third-party service providers on the use of ICT services, 
(ii) any relevant planned material changes regarding the ICT third-party service providers, 
(iii) the potential impact of such changes on the critical or important functions subject to those arrangements, including a risk analysis summary to assess the impact of those changes, and at least major ICT-related incidents and their impact, as well as response, recovery and corrective measures.","No","Needs evidence","COMPLIANCE",""
"Article 5","Article 5","Article 5.4 - Management Body ICT Risk Competency","SAT-87","nj8aj8j9","https://app.eu.vanta.com/frameworks/dora?controlId=nj8aj8j9","Members of the management body of the financial entity shall actively keep up to date with sufficient knowledge and skills to understand and assess ICT risk and its impact on the operations of the financial entity, including by following specific training on a regular basis, commensurate to the ICT risk being managed.","No","Needs evidence","SECURITY_AWARENESS_TRAINING",""
"Article 5","Article 5","Article 5.3 - Third-Party ICT Service Monitoring Manager","TPM-128","42am71af","https://app.eu.vanta.com/frameworks/dora?controlId=42am71af","Financial entities, other than microenterprises, shall establish a role in order to monitor the arrangements concluded with ICT third-party service providers on the use of ICT services, or shall designate a member of senior management as responsible for overseeing the related risk exposure and relevant documentation.","No","Needs evidence","THIRD_PARTY_MANAGEMENT",""
"Article 6","Article 6","Article 6.6 - ICT Risk Internal Audit","CPL-193","f4mw6a8j","https://app.eu.vanta.com/frameworks/dora?controlId=f4mw6a8j","The ICT risk management framework of financial entities, other than microenterprises, shall be subject to internal audit by auditors on a regular basis in line with the financial entities’ audit plan. Those auditors shall possess sufficient knowledge, skills and expertise in ICT risk, as well as appropriate independence. The frequency and focus of ICT audits shall be commensurate to the ICT risk of the financial entity.","No","Needs evidence","COMPLIANCE",""
"Article 6","Article 6","Article 6.7 - ICT Audit Findings Remediation Process","CPL-194","aaisoxzu","https://app.eu.vanta.com/frameworks/dora?controlId=aaisoxzu","Based on the conclusions from the internal audit review, financial entities shall establish a formal follow-up process, including rules for the timely verification and remediation of critical ICT audit findings.","No","Needs evidence","COMPLIANCE",""
"Article 6","Article 6","Article 6.2 - ICT Asset Protection Strategy","GOV-295","sq4jb6c6","https://app.eu.vanta.com/frameworks/dora?controlId=sq4jb6c6","The ICT risk management framework shall include at least strategies, policies, procedures, ICT protocols and tools that are necessary to duly and adequately protect all information assets and ICT assets, including computer software, hardware, servers, as well as to protect all relevant physical components and infrastructures, such as premises, data centres and sensitive designated areas, to ensure that all information assets and ICT assets are adequately protected from risks including damage and unauthorised access or usage.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 6","Article 6","Article 6.5 - ICT Risk Management Review and Improvement","GOV-296","pvzzz837","https://app.eu.vanta.com/frameworks/dora?controlId=pvzzz837","The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request.","No","Needs evidence","SECURITY_PRIVACY_GOVERNANCE",""
"Article 6","Article 6","Article 6.1 - Comprehensive ICT Risk Management Framework","RSK-148","i1mhg4sp","https://app.eu.vanta.com/frameworks/dora?controlId=i1mhg4sp","Financial entities shall have a sound, comprehensive and well-documented ICT risk management framework as part of their overall risk management system, which enables them to address ICT risk quickly, efficiently and comprehensively and to ensure a high level of digital operational resilience.","No","OK","RISK_MANAGEMENT",""
"Article 6","Article 6","Article 6.3 - ICT Risk Mitigation and Reporting","RSK-149","rnuzgu17","https://app.eu.vanta.com/frameworks/dora?controlId=rnuzgu17","In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.","No","Needs evidence","RISK_MANAGEMENT",""
