"Framework requirement","Framework code","Title","ID","UID","Url","Description","Description modified?","Evidence status","Domain","Owner"
"C.4.1","C.4.1","Understanding the organization and its context","GOV-89","77yz851y","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=77yz851y","The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended outcome(s) of its information security management system.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.4.2","C.4.2","Understanding the needs of interested parties","GOV-90","3h090bng","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=3h090bng","The organization shall determine: 

a) interested parties that are relevant to the information security management system; 

b) the relevant requirements of these interested parties; 

c) which of these requirements will be addressed through the information security management system.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.4.3","C.4.3","Determining the scope of the information security management system","AST-65","95gl3uru","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=95gl3uru","The organization shall determine the boundaries and applicability of the information security management system to establish its scope. When determining this scope, the organization shall consider: 

a) the external and internal issues referred to in 4.1; 

b) the requirements referred to in 4.2; 

c) interfaces and dependencies between activities performed by the organization, and those that are performed by other organizations. 

The scope shall be available as documented information.","No","OK","ASSET_MANAGEMENT",""
"C.4.4","C.4.4","Information security management system","GOV-91","wx3ruzdu","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=wx3ruzdu","The organization shall establish, implement, maintain and continually improve an information security management system, including the processes needed and their interactions, in accordance with the requirements of ISO 27001.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.5.1","C.5.1","Leadership and commitment","GOV-92","ulnhky2w","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=ulnhky2w","Top management shall demonstrate leadership and commitment with respect to the information security management system by: 

a) ensuring the information security policy and the information security objectives are established and are compatible with the strategic direction of the organization; 

b) ensuring the integration of the information security management system requirements into the organization’s processes; 

c) ensuring that the resources needed for the information security management system are available; 

d) communicating the importance of effective information security management and of conforming to the information security management system requirements; 

e) ensuring that the information security management system achieves its intended outcome(s); 

f) directing and supporting persons to contribute to the effectiveness of the information security management system; 

g) promoting continual improvement; and 

h) supporting other relevant management roles to demonstrate their leadership as it applies to their areas of responsibility.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.5.2","C.5.2","Policy","GOV-93","6zi88387","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=6zi88387","Top management shall establish an information security policy that: 

a) is appropriate to the purpose of the organization; 

b) includes information security objectives (see 6.2) or provides the framework for setting information security objectives; 

c) includes a commitment to satisfy applicable requirements related to information security; 

d) includes a commitment to continual improvement of the information security management system.

The information security policy shall: 

e) be available as documented information; 

f) be communicated within the organization; 

g) be available to interested parties, as appropriate.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.5.3","C.5.3","Organizational roles, responsibilities and authorities","GOV-94","iu7o7dv3","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=iu7o7dv3","Top management shall ensure that the responsibilities and authorities for roles relevant to information security are assigned and communicated within the organization. 

Top management shall assign the responsibility and authority for: 

a) ensuring that the information security management system conforms to the requirements of this document; 

b) reporting on the performance of the information security management system to top management.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io"
"C.6.1.1","C.6.1.1","General actions to address risks and opportunities","RSK-35","x71vtj2d","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=x71vtj2d","When planning for the information security management system, the organization shall consider the issues referred to in 4.1 and the requirements referred to in 4.2 and determine the risks and opportunities that need to be addressed to: 

a) ensure the information security management system can achieve its intended outcome(s); 

b) prevent, or reduce, undesired effects; 

c) achieve continual improvement.

The organization shall plan: 

d) actions to address these risks and opportunities; and 

e) how to 
  1) integrate and implement the actions into its information security management system processes; and 
  2) evaluate the effectiveness of these actions","No","OK","RISK_MANAGEMENT","adrian@moonlet.io"
"C.6.1.2","C.6.1.2","Information security risk assessment","RSK-36","sxcpoygj","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=sxcpoygj","The organization shall define and apply an information security risk assessment process that: 

a) establishes and maintains information security risk criteria that include: 
  1) the risk acceptance criteria; and 
  2) criteria for performing information security risk assessments; 

b) ensures that repeated information security risk assessments produce consistent, valid and comparable results; 

c) identifies the information security risks: 
  1) apply the information security risk assessment process to identify risks associated with the loss of confidentiality, integrity and availability for information within the scope of the information security management system; and 
  2) identify the risk owners; 

d) analyses the information security risks: 
  1) assess the potential consequences that would result if the risks identified in 6.1.2 c) 1) were to materialize; 
  2) assess the realistic likelihood of the occurrence of the risks identified in 6.1.2 c) 1); and 
  3) determine the levels of risk; 

e) evaluates the information security risks: 
  1) compare the results of risk analysis with the risk criteria established in 6.1.2 a); and 
  2) prioritize the analysed risks for risk treatment. 

The organization shall retain documented information about the information security risk assessment process.","No","OK","RISK_MANAGEMENT","adrian@moonlet.io"
"C.6.1.3","C.6.1.3","Information security risk treatment","RSK-37","jkza2tda","https://app.eu.vanta.com/frameworks/iso27001_2022?controlId=jkza2tda","The organization shall define and apply an information security risk treatment process to: 

a) select appropriate information security risk treatment options, taking account of the risk assessment results; 

b) determine all controls that are necessary to implement the information security risk treatment option(s) chosen; 

c) compare the controls determined in 6.1.3 b) above with those in Annex A and verify that no necessary controls have been omitted; 

d) produce a Statement of Applicability that contains: 

— the necessary controls (see 6.1.3 b) and c)); 

  — justification for their inclusion; 

  — whether the necessary controls are implemented or not; and 

  — the justification for excluding any of the Annex A controls. 

e) formulate an information security risk treatment plan; and 

f) obtain risk owners’ approval of the information security risk treatment plan and acceptance of the residual information security risks. 

The organization shall retain documented information about the information security risk treatment process.","No","Needs evidence","RISK_MANAGEMENT","adrian@moonlet.io"
