"Framework requirement","Framework code","Title","ID","UID","Url","Description","Description modified?","Evidence status","Domain","Owner","Variants"
"CC 1.1","CC 1.1","Code of Conduct acknowledged by contractors","HRS-2","code-of-conduct-acknowledged-contractors","https://app.eu.vanta.com/frameworks/soc2?controlId=code-of-conduct-acknowledged-contractors","The company requires contractor agreements to include a code of conduct or reference to the company code of conduct.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.1","CC 1.1, CC 1.5","Code of Conduct acknowledged by employees and enforced","HRS-3","code-of-conduct-acknowledged-employees","https://app.eu.vanta.com/frameworks/soc2?controlId=code-of-conduct-acknowledged-employees","The company requires employees to acknowledge a code of conduct at the time of hire. Employees who violate the code of conduct are subject to disciplinary actions in accordance with a disciplinary policy.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.1","CC 1.1","Confidentiality Agreement acknowledged by contractors","HRS-4","confidentiality-agreement-acknowledged-contractors","https://app.eu.vanta.com/frameworks/soc2?controlId=confidentiality-agreement-acknowledged-contractors","The company requires contractors to sign a confidentiality agreement at the time of engagement.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.1","CC 1.1","Confidentiality Agreement acknowledged by employees","HRS-5","confidentiality-agreement-acknowledged-employees","https://app.eu.vanta.com/frameworks/soc2?controlId=confidentiality-agreement-acknowledged-employees","The company requires employees to sign a confidentiality agreement during onboarding.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.1","CC 1.1, CC 1.4, CC 1.5","Performance evaluations conducted","HRS-6","performance-evaluations-conducted","https://app.eu.vanta.com/frameworks/soc2?controlId=performance-evaluations-conducted","The company managers are required to complete performance evaluations for direct reports at least annually.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.1","CC 1.1, CC 1.4","Employee background checks performed","HRS-1","background-checks-performed","https://app.eu.vanta.com/frameworks/soc2?controlId=background-checks-performed","The company performs background checks on new employees.","No","OK","HUMAN_RESOURCES_SECURITY","adrian@moonlet.io","Security"
"CC 1.2","CC 1.2, P 8.1","Board oversight briefings conducted","GOV-1","board-of-directors-briefing","https://app.eu.vanta.com/frameworks/soc2?controlId=board-of-directors-briefing","The company's board of directors or a relevant subcommittee is briefed by senior management at least annually on the state of the company's cybersecurity and privacy risk. The board provides feedback and direction to management as needed.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.2","CC 1.2, CC 1.3","Board charter documented","GOV-2","board-of-directors-charter","https://app.eu.vanta.com/frameworks/soc2?controlId=board-of-directors-charter","The company's board of directors has a documented charter that outlines its oversight responsibilities for internal control.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.2","CC 1.2","Board expertise developed","GOV-3","board-of-directors-expertise","https://app.eu.vanta.com/frameworks/soc2?controlId=board-of-directors-expertise","The company's board members have sufficient expertise to oversee management's ability to design, implement and operate information security controls. The board engages third-party information security experts and consultants as needed.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
"CC 1.2","CC 1.2","Board meetings conducted","GOV-4","board-of-directors-meeting","https://app.eu.vanta.com/frameworks/soc2?controlId=board-of-directors-meeting","The company's board of directors meets at least annually and maintains formal meeting minutes. The board includes directors that are independent of the company.","No","OK","SECURITY_PRIVACY_GOVERNANCE","tibi@moonlet.io","Security"
